Habit,Date,Value,Unit,Memo,Tag,Habit Type
Exercise for 20 minutes,8/5/24,0,min,,,Build
Exercise for 20 minutes,8/6/24,20,min,,,Build
Exercise for 20 minutes,8/7/24,20,min,,,Build
Exercise for 20 minutes,8/8/24,20,min,,,Build
Exercise for 20 minutes,8/13/24,20,min,,,Build
Exercise for 20 minutes,8/14/24,20,min,,,Build
Exercise for 20 minutes,8/16/24,20,min,,,Build
Exercise for 20 minutes,8/17/24,20,min,,,Build
Exercise for 20 minutes,8/19/24,20,min,,,Build
Exercise for 20 minutes,8/20/24,20,min,,,Build
Exercise for 20 minutes,8/21/24,20,min,,,Build
Exercise for 20 minutes,8/22/24,20,min,,,Build
Exercise for 20 minutes,8/23/24,20,min,,,Build
Exercise for 20 minutes,8/24/24,20,min,,,Build
Exercise for 20 minutes,8/25/24,20,min,,,Build
Exercise for 20 minutes,8/27/24,20,min,,,Build
Exercise for 20 minutes,8/28/24,20,min,,,Build
Exercise for 20 minutes,9/3/24,20,min,,,Build
Exercise for 20 minutes,9/4/24,20,min,,,Build
Exercise for 20 minutes,9/6/24,20,min,,,Build
Exercise for 20 minutes,9/13/24,20,min,,,Build
Exercise for 20 minutes,9/14/24,20,min,,,Build
Exercise for 20 minutes,9/15/24,20,min,,,Build
Exercise for 20 minutes,9/16/24,20,min,,,Build
Exercise for 20 minutes,9/18/24,20,min,,,Build
Exercise for 20 minutes,9/20/24,20,min,,,Build
Exercise for 20 minutes,9/23/24,20,min,,,Build
Check-in,9/1/24,1,count,,,Build
Check-in,9/2/24,1,count,,,Build
Check-in,9/3/24,1,count,,,Build
Check-in,9/5/24,1,count,,,Build
Check-in,9/6/24,1,count,,,Build
Check-in,9/7/24,1,count,,,Build
Check-in,9/9/24,1,count,,,Build
Check-in,9/10/24,1,count,,,Build
Check-in,9/11/24,1,count,,,Build
Check-in,9/13/24,1,count,,,Build
Check-in,9/16/24,1,count,,,Build
Check-in,9/17/24,1,count,,,Build
Check-in,9/19/24,1,count,,,Build
Check-in,9/20/24,1,count,,,Build
Check-in,9/21/24,1,count,,,Build
Check-in,9/22/24,1,count,,,Build
Check-in,9/23/24,1,count,,,Build
Vitamins and drugs ,8/20/24,1,count,,,Build
